,「【必要会場面積／必要人数リスト】アクティビティ＆フード」を参照して作成しております　↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://docs.google.com/spreadsheets/d/1Et1sxFLvO9ufXjWF7n6aq_GvciMup-ikNKT6WOo7ijI/edit?gid=1965560400#gid=1965560400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"【注意】
こちらの各アサイン人数は絶対ではございません。
お客様のご要望や状況によって人数は増減致します。
あくまで目安としてご利用いただければと思います。

こちらに記載しているコンテンツは全てリアルイベントのアサイン人数です。",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"【コピペ方法】
下記の部分をコピーしてください！
ペーストする際もしっかりマスに合わせてペーストをお願いします。",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO,名前,,,P,巡回,備考,,サイズ,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
・チャンバラ
・忍者合戦
・城攻め
・水合戦
（2軍）

※to Cイベントの場合は受付2名追加",参加人数：～49名（2軍）,,,,,,,,,,参加人数：50～99名（2軍）,,,,,,,,,,参加人数：100～150名（2軍）,,,,,,,,
,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ
,1,,,,D,,,,,,1,,,,D,,,,,,1,,,,D,,,,
,2,,,,MC,,,,,,2,,,,MC,,,,,,2,,,,MC,,,,
,3,,,,OP,,,,,,3,,,,OP,,,,,,3,,,,OP,,,,
,4,,,,FC,,軍師,,,,4,,,,FC,,軍師,,,,4,,,,FC,,軍師,,
,5,,,,FC,,軍師,,,,5,,,,FC,,サポ,,,,5,,,,FC,,サポ,,
,6,,,,,,,,,,6,,,,FC,,軍師,,,,6,,,,FC,,軍師,,
,7,,,,,,,,,,7,,,,FC,,サポ,,,,7,,,,FC,,サポ,,
,8,,,,,,,,,,8,,,,,,,,,,8,,,,FC,,全体サポ,,
,9,,,,,,,,,,9,,,,,,,,,,9,,,,FC,,全体サポ,,
,10,,,,,,,,,,10,,,,,,,,,,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
・チャンバラ
・忍者合戦
・城攻め
・水合戦
（3軍）

※to Cイベントの場合は受付2名追加",参加人数：～49名（3軍）,,,,,,,,,,参加人数：50～99名（3軍）,,,,,,,,,,参加人数：100～150名（3軍）,,,,,,,,
,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ
,1,,,,D,,,,,,1,,,,D,,,,,,1,,,,D,,,,
,2,,,,MC,,,,,,2,,,,MC,,,,,,2,,,,MC,,,,
,3,,,,OP,,,,,,3,,,,OP,,,,,,3,,,,OP,,,,
,4,,,,FC,,軍師,,,,4,,,,FC,,軍師,,,,4,,,,FC,,軍師,,
,5,,,,FC,,軍師,,,,5,,,,FC,,サポ,,,,5,,,,FC,,サポ,,
,6,,,,FC,,軍師,,,,6,,,,FC,,軍師,,,,6,,,,FC,,軍師,,
,7,,,,,,,,,,7,,,,FC,,サポ,,,,7,,,,FC,,サポ,,
,8,,,,,,,,,,8,,,,FC,,軍師,,,,8,,,,FC,,軍師,,
,9,,,,,,,,,,9,,,,FC,,サポ,,,,9,,,,FC,,サポ,,
,10,,,,,,,,,,10,,,,,,,,,,10,,,,FC,,全体サポ,,
,,,,,,,,,,,,,,,,,,,,,11,,,,FC,,全体サポ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
・チャンバラ
・忍者合戦
・城攻め
・水合戦
（4軍）

※to Cイベントの場合は受付2名追加",参加人数：～49名（4軍）,,,,,,,,,,参加人数：50～99名（4軍）,,,,,,,,,,参加人数：100～150名（4軍）,,,,,,,,
,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ
,1,,,,D,,,,,,1,,,,D,,,,,,1,,,,D,,,,
,2,,,,MC,,,,,,2,,,,MC,,,,,,2,,,,MC,,,,
,3,,,,OP,,,,,,3,,,,OP,,,,,,3,,,,OP,,,,
,4,,,,FC,,軍師,,,,4,,,,FC,,軍師,,,,4,,,,FC,,軍師,,
,5,,,,FC,,軍師,,,,5,,,,FC,,サポ,,,,5,,,,FC,,サポ,,
,6,,,,FC,,軍師,,,,6,,,,FC,,軍師,,,,6,,,,FC,,軍師,,
,7,,,,FC,,軍師,,,,7,,,,FC,,サポ,,,,7,,,,FC,,サポ,,
,8,,,,,,,,,,8,,,,FC,,軍師,,,,8,,,,FC,,軍師,,
,9,,,,,,,,,,9,,,,FC,,サポ,,,,9,,,,FC,,サポ,,
,10,,,,,,,,,,10,,,,FC,,軍師,,,,10,,,,FC,,軍師,,
,,,,,,,,,,,11,,,,FC,,サポ,,,,11,,,,FC,,サポ,,
,,,,,,,,,,,,,,,,,,,,,12,,,,FC,,全体サポ,,
,,,,,,,,,,,,,,,,,,,,,13,,,,FC,,全体サポ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"・戦国運動会
・NEW運動会
・防災運動会

（3競技想定）",参加人数：～49名（2チーム）,,,,,,,,,,参加人数：50～99名（3チーム）,,,,,,,,,,参加人数：100～150名（4チーム）,,,,,,,,
,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ
,1,,,,D,,,,,,1,,,,D,,,,,,1,,,,D,,,,
,2,,,,MC,,,,,,2,,,,MC,,,,,,2,,,,MC,,,,
,3,,,,OP,,,,,,3,,,,OP,,,,,,3,,,,OP,,,,
,4,,,,FC,,チームサポ,,,,4,,,,FC,,チームサポ,,,,4,,,,FC,,チームサポ,,
,5,,,,FC,,チームサポ,,,,5,,,,FC,,チームサポ,,,,5,,,,FC,,サブ,,
,6,,,,FC,,全体サポ,,,,6,,,,FC,,チームサポ,,,,6,,,,FC,,チームサポ,,
,7,,,,,,,,,,7,,,,FC,,全体サポ,,,,7,,,,FC,,サブ,,
,8,,,,,,,,,,8,,,,FC,,全体サポ,,,,8,,,,FC,,チームサポ,,
,9,,,,,,,,,,9,,,,,,,,,,9,,,,FC,,サブ,,
,10,,,,,,,,,,10,,,,,,,,,,10,,,,FC,,チームサポ,,
,,,,,,,,,,,,,,,,,,,,,11,,,,FC,,サブ,,
,,,,,,,,,,,,,,,,,,,,,12,,,,FC,,全体サポ,,
,,,,,,,,,,,,,,,,,,,,,13,,,,FC,,全体サポ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"・ある会議室
・ある会議室2",参加人数：～49名　（～9チーム想定）,,,,,,,,,,参加人数：50～99名　（10～17チーム想定）,,,,,,,,,,参加人数：100～150名　（18～24チーム想定）,,,,,,,,
,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ
,1,,,,D,,,,,,1,,,,D,,,,,,1,,,,D,,,,
,2,,,,MC,,,,,,2,,,,MC,,,,,,2,,,,MC,,,,
,3,,,,OP,,,,,,3,,,,OP,,,,,,3,,,,OP,,,,
,4,,,,FC,3,,,,,4,,,,FC,4,,,,,4,,,,FC,4,,,
