"グループ","画面・機能","URL","コントローラ","使える人（権限）","実装状況","何をするもの","表示データの出どころ","保存先（テーブル／カラム）","入力チェック","未実装・モック・注意"
"ログイン","ログイン画面","/","AuthController@showLogin（照合はFortify）","全員","本物","メールとパスワードでログイン。成功後2段階認証へ","静的フォーム","書き込みなし（remember時のみpeople.remember_token）","email必須/形式・password必須","ログイン初期値がハードコード（本番前削除）。テスト用ワンクリックは暫定。active=trueのみ許可・5回/分でロック"
"ログイン","2段階認証（コード入力）","/otp","OtpController@show/verify/resend","ログイン直後","本物","メールで届く6桁コードで本人確認","Auth::user()->email","セッションtwofa（code_hash/expires_at/attempts）","code必須","有効期限10分・5回まで。ローカルはメールをログ出力・本番はSES。テスト用は対象外"
"ログイン","初回設定（オンボーディング）","/onboarding","OnboardingController@show/complete","発行されたての人","本物","初回のパスワード設定＋プロフィール入力","Auth::user()（people）","people（password/name/email/office/height/shoe_size/shirt_size/prefecture/nearest_station・スタッフはappeal・must_onboard=false）","name必須・email形式・password min8 confirmed","終わるまで他画面に進めない。テスト用は保存せずセッションで完了扱い"
"本人設定","プロフィール編集","/profile","ProfileController@edit/update","本人","本物","本人が自分のプロフィールを更新","Auth::user()（people）","people（共通＋社員department／スタッフappeal・好き嫌い・得意苦手・前後泊・着ぐるみ）","name必須・email形式","役割で入力欄が変わる。テスト用は保存不可。スタッフ画面の設定タブとは別物（本物はこちら）"
"本人設定","パスワード変更","/password","PasswordController@edit/update","本人","本物","本人がパスワード変更","静的フォーム","people.password（hashed）","現PW必須＋一致確認・新PW min8 confirmed","テスト用は変更不可"
"スタッフ画面","スタッフ画面（公開ボード）","/staff-portal","StaffPortalController@index","スタッフ本人（社員も閲覧可）","一部見本","確定アサイン・募集案件・お知らせ・稼働希望を本人が見る","projects（staff_published）／assignments／Setting","保存はこの画面ではなく/assign-publish側","確定アサイン・募集リストは本物。エントリー・稼働希望・設定タブ保存は見た目だけ（本物の保存は/profile）"
"（トップ）","ダッシュボード","/dashboard","DashboardController@index","社員以上","本物（一部暫定）","全社の忙しさ（KPI）と危険日カレンダー","projects全件→cases.js形式","なし（表示専用）","危険日＝大型2件/リアル5件/必要スタッフ28名以上。稼働40名は仮定数。件数集計は暫定。『モックです』帯は旧表示"
"（トップ）","マイページ","/mypage","MyPageController@index","社員以上","一部見本","自分の担当案件を月別に一覧・カレンダー登録","projects／assignments（PersonalCases）","通知設定＝localStorage（DB未保存）","なし","『自分』＝baba固定。プロフィール/PWボタンはダミー。ログアウトが/へ遷移するだけで実ログアウトしない可能性（要確認）"
"（トップ）","収支入力","/mypage-finance","MyPageFinanceController@index","社員以上","モック","案件ごとの売上・経費・利益を入力","projects／assignments（PersonalCases）","localStorage ecs_finance（DB未保存）","HTML側のみ","保存はMTG後。実費は1000円切り上げ（注記の四捨五入は誤記）。当日スタッフ費数量に運営人数を仮入力"
"案件","案件一覧","/projects","ProjectController@index","社員以上","本物（詳細編集は未保存）","案件を年月別に一覧・確認・編集/削除/アサインへ受け渡し","projects（director/goodsOwner）→cases.js形式","ケータリングのみ保存（projects.catering/catering_note）","なし","詳細パネルのプルダウン・手動アーカイブは未保存。SD担当は固定『未設定』。運営シート作成はモック"
