"順番","画面","URL","いつ使う","使い方の手順","主なボタン・入力欄の意味","注意点"
"1","ログイン","/","システムを使い始めるとき","①メールとパスワードを入れて『ログイン』②登録メールに届く6桁コードを次画面で入力","メール／パスワード＝配布されたもの／『ログイン状態を保持』＝次回入力を省く","在籍中の人のみ。5回失敗でロック。新規登録はなし（管理者が発行）"
"2","2段階認証","/otp","ログイン直後","①メールの6桁コードを入力②『ログイン』","確認コード＝メールの6桁／再送＝新しいコードを送り直す／ログインし直す＝最初から","有効期限10分・5回まで。開発中はメールがログに出るだけ"
"3","初回設定","/onboarding","発行されたてで初めて入ったとき","①新パスワードを8文字以上で決める②氏名を確認③身長・靴・服サイズ・都道府県・最寄駅・事務所を入れる④『設定を完了して始める』","パスワード＝これからのログイン用／各プロフィール＝当日準備の参考","パスワードと氏名は必須。他は後でマイプロフィールで直せる。仮PWのままにしない"
"4","ダッシュボード","/dashboard","毎朝の状況確認","①上の数字カードで今月・今週・大型・来月を見る②危険日カレンダーで赤マスを確認③‹›で月移動・マスにマウスで案件詳細","数字カード＝件数／危険日カレンダー＝人が足りない日が赤／件数集計＝拠点別・種別別","危険日＝大型2件/リアル5件/必要28名以上のいずれか。稼働40名は今は仮。件数集計表は暫定"
"5","案件登録・編集","/project-form","新しい案件が決まったとき／内容を直すとき","①タブ『1件ずつ入力』②基本情報→当日手配→備考の順に入力（赤=必須）③『下書き保存』か『確定』","確度＝受注の確からしさ／実施形態＝オンライン等で追加欄が開く／未定・仮チェック＝後で埋める印","必須3点（案件名・開催日・運営人数）は値か『未定/仮』が要る。D・SD・準備チェックはこの画面では保存されない"
"6","案件一覧","/projects","案件を探す・確認する・アサインへ渡す","①絞り込みバーで探す②タブで一覧/下書き/アーカイブ切替③行クリックで詳細④行右で編集/アサイン/削除","アサイン表へ書き出し＝スプレッドシート用の表を作る／＋案件を登録／行の『アサイン』『編集』","詳細パネルの編集と手動アーカイブは保存されない（ケータリングのみ保存）。削除は関連ごと消える・戻せない"
"7","案件CSV取込","/imports→案件","たくさんの案件を一度に登録","①テンプレをダウンロードしExcelで記入②ファイルを選ぶ③自動チェック結果を確認（赤=エラー行）④『この内容で取り込む』","テンプレDL／ファイル選択／エラー行クリック＝1件ずつ直して登録","必須3項目が空の行は取り込まれない。列順は入替可（見出し名は一致）。管理者以上"
"8","名簿CSV取込","/imports→名簿","スタッフ・社員をまとめて登録","①テンプレDL②1行1人で記入③ファイルを選ぶ④『この内容で登録』","種別＝社員/スタッフ／通算経験回数＝これまでの参加回数","IDと権限は自動。パスワードは入らない（発行は別作業）。メール重複はエラー。管理者以上"
"9","アカウント発行","/account-new","1人だけ新しく登録","①種別を選ぶ②氏名・メール③権限④事務所・入社日・仮PW（任意）⑤『発行』⑥出た仮PWを本人に伝える","種別／権限／仮パスワード（空なら自動生成）","Administrator付与はAdministratorのみ。スタッフの権限は『スタッフ』固定。本人は初回設定が必要"
"10","社員の出勤可能日","/employee-availability","社員の稼働日を集める","①タブ『自分の入力』②枠をクリックで〇→×→△→未入力③備考を書く④『この月の内容を保存』","〇=出勤可／×=不可／△=条件つき／平日=希望休トグル","スタッフの希望とは別（社員用）。今は『自分=先頭社員』の仮運用。祝日は見本"
"11","D決め","/assign-director","月次MTGでDを決める","①各日に出せる社員が並ぶ②社員名をクリックしD/SD/FCを選ぶ③『＋全社員を表示』で他部門も④『D／SDを保存』","D=責任者／SD=補佐／FC=巡回。緑=D/SD担当・青=別役割・グレー=空き","月切替ボタンは効かない（案件最多月を自動表示）。開催日なしはDを保存できない"
"12","手動アサイン","/project-assign","スタッフを案件に本当に割り当てる","①人にチェック②役割を選ぶ③『この日 希望・稼働可の人だけ』や検索で絞る④『仮で保存』か『確定で保存』","選択◯/必要◯名＝過不足／希望・NG・専属・確定済・同日・上限バッジ","上書き保存（外した人は消える）。ダブルブッキング・NGペア・月20件超・人数不一致は警告のみ（保存可）。開催日必須"
"13","アサイン画面（案件詳細）","/assign-detail","1案件の編成を検討","①ヘッダーで日程等を確認②提案チームと代替候補を見比べ③差し替えを検討","スコア＝適性の目安（今は暫定）／稼働率／代替候補の＋追加","スコアは暫定（通算回数）。チーム編集・確定・公開は保存されない見本。実保存は手動アサイン/D決め/公開ボードから"
"14","日別ボード","/assign","日ごとの割り当て状況を見る","①表示開始日で日を選ぶ②状態や『自分の担当のみ』で絞る③各カードでメンバー/希望者を確認","稼働可/割当済/残り＝その日の充足／赤字＋⚠=同日かぶり／今月◯/20＝上限","操作の多くは見本で保存されない（ポジション変更だけ保存）。ポジション充足ランプは未接続"
